Rk,Team,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Los Angeles Dodgers,43,17,0.717,5.8,3.6,2.3,-0.1,2.2,43-17,0,0-0,0-0,27-13,16-Apr,21-Sep,22-Aug,05-Jan,07-May,30-Dec,13-May,08-May,35-12
2,Tampa Bay Rays,40,20,0.667,4.8,3.8,1,-0.1,0.9,36-24,4,27-13,0-0,0-0,13-Jul,20-Sep,20-Nov,04-Mar,14-May,31-Dec,09-Aug,21-Sep,19-Nov
3,San Diego Padres,37,23,0.617,5.4,4,1.4,0,1.4,38-22,-1,0-0,0-0,24-16,13-Jul,21-Nov,16-Dec,4-0,08-Aug,27-13,10-Oct,06-Jul,31-16
4,Minnesota Twins,36,24,0.6,4.5,3.6,0.9,0,0.9,36-24,0,0-0,23-17,0-0,13-Jul,24-Jul,Dec-17,03-Jan,09-May,27-17,09-Jul,18-Dec,18-Dec
5,Oakland Athletics,36,24,0.6,4.6,3.9,0.7,-0.4,0.3,35-25,1,0-0,0-0,26-14,10-Oct,22-Oct,14-14,06-Jan,07-Jun,25-21,11-Mar,02-Apr,34-20
6,Atlanta Braves,35,25,0.583,5.8,4.8,1,-0.2,0.8,35-25,0,24-16,0-0,0-0,11-Sep,19-Nov,16-14,02-Mar,11-Jun,27-21,08-Apr,12-Sep,23-16
7,Chicago White Sox,35,25,0.583,5.1,4.1,1,0,1,36-24,-1,0-0,25-15,0-0,10-Oct,18-Dec,17-13,01-Feb,05-Aug,21-25,14-0,Dec-20,23-May
8,Cleveland Indians,35,25,0.583,4.1,3.5,0.7,0,0.6,35-25,0,0-0,23-17,0-0,12-Aug,18-Dec,17-13,04-Feb,08-Jun,27-20,08-May,16-15,19-Oct
9,Chicago Cubs,34,26,0.567,4.4,4,0.4,-0.2,0.3,33-27,1,0-0,22-18,0-0,12-Aug,19-14,15-Dec,03-Jan,10-Sep,27-22,07-Apr,19-14,15-Dec
10,New York Yankees,33,27,0.55,5.3,4.5,0.8,-0.1,0.7,34-26,-1,23-17,0-0,0-0,10-Oct,22-Sep,Nov-18,05-Feb,06-Jul,26-19,07-Aug,Oct-17,23-Oct
11,Toronto Blue Jays,32,28,0.533,5,5.2,-0.2,0,-0.1,29-31,3,22-18,0-0,0-0,10-Oct,17-Sep,15-19,05-Jun,13-Oct,20-20,12-Aug,Dec-15,20-13
12,St. Louis Cardinals,30,28,0.517,4.1,3.9,0.2,-0.2,0,30-28,0,0-0,22-18,0-0,08-Oct,14-13,16-15,01-Mar,07-Jun,26-21,04-Jul,15-15,15-13
13,Miami Marlins,31,29,0.517,4.4,5.1,-0.7,0.1,-0.6,26-34,5,21-19,0-0,0-0,10-Oct,Nov-15,20-14,03-Feb,11-Aug,24-17,07-Dec,Sep-14,22-15
14,Cincinnati Reds,31,29,0.517,4.1,4.1,0,-0.2,-0.2,30-30,1,0-0,21-19,0-0,10-Oct,16-13,15-16,2-0,07-Aug,24-23,07-Jun,13-17,18-Dec
15,Houston Astros,29,31,0.483,4.7,4.6,0.1,-0.3,-0.2,30-30,-1,0-0,0-0,19-21,10-Oct,20-Aug,Sep-23,02-Jul,Oct-14,17-21,12-Oct,Apr-13,25-18
16,San Francisco Giants,29,31,0.483,5,5,0,0.3,0.3,30-30,-1,0-0,0-0,18-22,11-Sep,19-14,Oct-17,02-Mar,08-Aug,15-21,14-Oct,Jul-19,22-Dec
17,Milwaukee Brewers,29,31,0.483,4.1,4.4,-0.3,-0.1,-0.4,28-32,1,0-0,19-21,0-0,10-Oct,15-14,14-17,03-Feb,11-May,18-24,11-Jul,19-24,10-Jul
18,Philadelphia Phillies,28,32,0.467,5.1,5.2,-0.1,0,-0.1,30-30,-2,21-19,0-0,0-0,Jul-13,19-13,Sep-19,03-Feb,08-Oct,15-23,13-Sep,13-20,15-Dec
19,Seattle Mariners,27,33,0.45,4.2,5.1,-0.8,-0.1,-0.9,25-35,2,0-0,0-0,20-20,Jul-13,14-Oct,13-23,02-Mar,07-Aug,19-21,08-Dec,08-Dec,19-21
20,New York Mets,26,34,0.433,4.8,5.1,-0.4,0,-0.3,28-32,-2,17-23,0-0,0-0,09-Nov,Dec-17,14-17,01-Apr,06-Nov,18-20,Aug-14,14-18,Dec-16
21,Los Angeles Angels,26,34,0.433,4.9,5.4,-0.5,-0.1,-0.6,28-32,-2,0-0,0-0,19-21,Jul-13,16-15,Oct-19,03-May,09-Sep,17-24,09-Oct,Jul-13,19-21
22,Kansas City Royals,26,34,0.433,4.1,4.5,-0.4,0.2,-0.2,27-33,-1,0-0,17-23,0-0,09-Nov,15-15,Nov-19,01-Feb,08-Sep,22-27,04-Jul,17-27,09-Jul
23,Colorado Rockies,26,34,0.433,4.6,5.9,-1.3,0.4,-0.9,23-37,3,0-0,0-0,17-23,09-Nov,Dec-18,14-16,01-Feb,09-Aug,16-24,10-Oct,Sep-15,17-19
24,Washington Nationals,26,34,0.433,4.9,5,-0.1,0,-0.2,29-31,-3,17-23,0-0,0-0,09-Nov,15-18,Nov-16,04-Jan,07-Sep,15-28,11-Jun,14-17,Dec-17
25,Baltimore Orioles,25,35,0.417,4.6,4.9,-0.3,0.1,-0.3,28-32,-3,14-26,0-0,0-0,11-Sep,13-20,Dec-15,04-Apr,07-Dec,18-29,07-Jun,Nov-26,14-Sep
26,Arizona D'Backs,25,35,0.417,4.5,4.9,-0.4,0.3,-0.1,27-33,-2,0-0,0-0,14-26,11-Sep,16-14,Sep-21,0-3,09-Sep,20-24,05-Nov,Sep-15,16-20
27,Boston Red Sox,24,36,0.4,4.9,5.9,-1,0.2,-0.8,25-35,-1,14-26,0-0,0-0,10-Oct,Nov-20,13-16,0-4,04-Sep,17-19,Jul-17,13-26,11-Oct
28,Detroit Tigers,23,35,0.397,4.3,5.5,-1.2,0.3,-0.9,23-35,0,0-0,Dec-28,0-0,11-Jul,Dec-15,Nov-20,01-Feb,07-Sep,16-31,07-Apr,14-27,09-Aug
29,Texas Rangers,22,38,0.367,3.7,5.2,-1.5,-0.1,-1.6,21-39,1,0-0,0-0,16-24,Jun-14,16-14,Jun-24,02-Feb,07-Jun,15-23,Jul-15,Apr-13,18-25
30,Pittsburgh Pirates,19,41,0.317,3.7,5,-1.3,0.1,-1.2,22-38,-3,0-0,16-24,0-0,Mar-17,13-19,Jun-22,01-May,Aug-15,17-31,02-Oct,14-30,05-Nov
