Date,Visitor,Vg,Home,Hg,ExtraTime,Att.,LOG,Notes
13/01/2021,St. Louis Blues,4,Colorado Avalanche,1,,,02:24,
13/01/2021,Vancouver Canucks,5,Edmonton Oilers,3,,,02:24,
13/01/2021,Pittsburgh Penguins,3,Philadelphia Flyers,6,,,02:21,
13/01/2021,Chicago Blackhawks,1,Tampa Bay Lightning,5,,,02:26,
13/01/2021,Montreal Canadiens,4,Toronto Maple Leafs,5,OT,,02:38,
14/01/2021,San Jose Sharks,4,Arizona Coyotes,3,SO,2274,02:37,
14/01/2021,Washington Capitals,6,Buffalo Sabres,4,,,02:23,
14/01/2021,Carolina Hurricanes,3,Detroit Red Wings,0,,,02:25,
14/01/2021,Vancouver Canucks,2,Edmonton Oilers,5,,,02:30,
14/01/2021,Minnesota Wild,4,Los Angeles Kings,3,OT,,02:37,
14/01/2021,Boston Bruins,3,New Jersey Devils,2,SO,,02:43,
14/01/2021,Columbus Blue Jackets,1,Nashville Predators,3,,,02:29,
14/01/2021,New York Islanders,4,New York Rangers,0,,,02:30,
14/01/2021,Anaheim Ducks,2,Vegas Golden Knights,5,,,02:24,
14/01/2021,Calgary Flames,3,Winnipeg Jets,4,OT,,02:26,
15/01/2021,Washington Capitals,2,Buffalo Sabres,1,,,02:17,
15/01/2021,St. Louis Blues,0,Colorado Avalanche,8,,,02:31,
15/01/2021,Toronto Maple Leafs,3,Ottawa Senators,5,,,02:28,
15/01/2021,Pittsburgh Penguins,2,Philadelphia Flyers,5,,,02:23,
15/01/2021,Chicago Blackhawks,2,Tampa Bay Lightning,5,,,02:23,
16/01/2021,San Jose Sharks,3,Arizona Coyotes,5,,2384,02:22,
16/01/2021,Vancouver Canucks,0,Calgary Flames,3,,,02:24,
16/01/2021,Carolina Hurricanes,2,Detroit Red Wings,4,,,02:28,
16/01/2021,Montreal Canadiens,5,Edmonton Oilers,1,,,02:20,
16/01/2021,Minnesota Wild,4,Los Angeles Kings,3,OT,,02:42,
16/01/2021,Boston Bruins,1,New Jersey Devils,2,OT,,02:34,
16/01/2021,Columbus Blue Jackets,2,Nashville Predators,5,,,02:28,
16/01/2021,New York Islanders,0,New York Rangers,5,,,02:41,
16/01/2021,Toronto Maple Leafs,3,Ottawa Senators,2,,,02:23,
16/01/2021,Anaheim Ducks,1,Vegas Golden Knights,2,OT,,02:18,
17/01/2021,Chicago Blackhawks,2,Florida Panthers,5,,4147,02:27,
17/01/2021,Washington Capitals,3,Pittsburgh Penguins,4,SO,,02:40,
18/01/2021,Minnesota Wild,0,Anaheim Ducks,1,,,02:28,
18/01/2021,Vancouver Canucks,2,Calgary Flames,5,,,02:21,
18/01/2021,Columbus Blue Jackets,3,Detroit Red Wings,2,,,02:37,
18/01/2021,Montreal Canadiens,3,Edmonton Oilers,1,,,02:26,
18/01/2021,Carolina Hurricanes,4,Nashville Predators,2,,,02:22,
18/01/2021,Boston Bruins,0,New York Islanders,1,,,02:26,
18/01/2021,Buffalo Sabres,6,Philadelphia Flyers,1,,,02:26,
18/01/2021,San Jose Sharks,4,St. Louis Blues,5,,,02:32,
18/01/2021,Winnipeg Jets,1,Toronto Maple Leafs,3,,,02:20,
18/01/2021,Arizona Coyotes,2,Vegas Golden Knights,4,,,02:33,
19/01/2021,Columbus Blue Jackets,2,Detroit Red Wings,3,OT,,02:21,
19/01/2021,Chicago Blackhawks,4,Florida Panthers,5,OT,3667,02:34,
19/01/2021,Colorado Avalanche,3,Los Angeles Kings,2,,,02:27,
19/01/2021,New Jersey Devils,4,New York Rangers,3,,,02:30,
19/01/2021,Winnipeg Jets,4,Ottawa Senators,3,OT,,02:29,
19/01/2021,Buffalo Sabres,0,Philadelphia Flyers,3,,,02:29,
19/01/2021,Washington Capitals,4,Pittsburgh Penguins,5,OT,,02:34,
20/01/2021,Minnesota Wild,3,Anaheim Ducks,2,,,02:33,
20/01/2021,San Jose Sharks,2,St. Louis Blues,1,SO,,02:36,
20/01/2021,Edmonton Oilers,3,Toronto Maple Leafs,1,,,02:17,
20/01/2021,Montreal Canadiens,5,Vancouver Canucks,6,SO,,02:31,
20/01/2021,Arizona Coyotes,2,Vegas Golden Knights,5,,,02:24,
21/01/2021,Philadelphia Flyers,4,Boston Bruins,5,SO,,02:46,
21/01/2021,Tampa Bay Lightning,3,Columbus Blue Jackets,2,OT,,02:29,
21/01/2021,Colorado Avalanche,2,Los Angeles Kings,4,,,02:25,
21/01/2021,New Jersey Devils,1,New York Islanders,4,,,02:25,
21/01/2021,Winnipeg Jets,4,Ottawa Senators,1,,,02:25,
21/01/2021,Montreal Canadiens,7,Vancouver Canucks,3,,,02:31,
22/01/2021,Colorado Avalanche,3,Anaheim Ducks,2,OT,,02:35,
22/01/2021,Vegas Golden Knights,2,Arizona Coyotes,5,,2712,02:21,
22/01/2021,Detroit Red Wings,1,Chicago Blackhawks,4,,,02:17,
22/01/2021,Nashville Predators,0,Dallas Stars,7,,4214,02:32,
22/01/2021,San Jose Sharks,1,Minnesota Wild,4,,,02:28,
22/01/2021,New York Rangers,3,Pittsburgh Penguins,4,SO,,02:27,
22/01/2021,Edmonton Oilers,2,Toronto Maple Leafs,4,,,02:21,
22/01/2021,Buffalo Sabres,3,Washington Capitals,4,SO,,02:39,
23/01/2021,Philadelphia Flyers,1,Boston Bruins,6,,,02:26,
23/01/2021,Tampa Bay Lightning,2,Columbus Blue Jackets,5,,,02:26,
23/01/2021,Los Angeles Kings,2,St. Louis Blues,4,,,02:27,
23/01/2021,Montreal Canadiens,5,Vancouver Canucks,2,,,02:29,
23/01/2021,Ottawa Senators,3,Winnipeg Jets,6,,,02:27,
24/01/2021,Colorado Avalanche,1,Anaheim Ducks,3,,,02:19,
24/01/2021,Vegas Golden Knights,1,Arizona Coyotes,0,,2672,02:17,
24/01/2021,Toronto Maple Leafs,3,Calgary Flames,2,,,02:22,
24/01/2021,Detroit Red Wings,2,Chicago Blackhawks,6,,,02:11,
24/01/2021,Nashville Predators,2,Dallas Stars,3,,4056,02:28,
24/01/2021,San Jose Sharks,5,Minnesota Wild,3,,,02:36,
24/01/2021,New York Islanders,0,New Jersey Devils,2,,,02:24,
24/01/2021,New York Rangers,2,Pittsburgh Penguins,3,,,02:25,
24/01/2021,Los Angeles Kings,6,St. Louis Blues,3,,,02:28,
24/01/2021,Edmonton Oilers,4,Winnipeg Jets,3,,,02:27,
24/01/2021,Buffalo Sabres,4,Washington Capitals,3,SO,,02:44,
25/01/2021,Ottawa Senators,1,Vancouver Canucks,7,,,02:30,
26/01/2021,Anaheim Ducks,1,Arizona Coyotes,0,,1808,02:25,
26/01/2021,Pittsburgh Penguins,2,Boston Bruins,3,OT,,02:40,
26/01/2021,New York Rangers,2,Buffalo Sabres,3,,,02:22,
26/01/2021,Florida Panthers,4,Columbus Blue Jackets,3,SO,,02:29,
26/01/2021,Toronto Maple Leafs,4,Calgary Flames,3,,,02:24,
26/01/2021,San Jose Sharks,3,Colorado Avalanche,7,,,02:32,
26/01/2021,Detroit Red Wings,1,Dallas Stars,2,OT,4109,02:26,
26/01/2021,Los Angeles Kings,2,Minnesota Wild,1,,,02:22,
26/01/2021,Philadelphia Flyers,5,New Jersey Devils,3,,,02:24,
26/01/2021,Chicago Blackhawks,2,Nashville Predators,3,OT,,02:28,
26/01/2021,St. Louis Blues,5,Vegas Golden Knights,4,SO,,02:41,
26/01/2021,Edmonton Oilers,4,Winnipeg Jets,6,,,02:21,
26/01/2021,New York Islanders,2,Washington Capitals,3,,,02:25,
27/01/2021,Chicago Blackhawks,1,Nashville Predators,2,SO,,02:24,
27/01/2021,Ottawa Senators,1,Vancouver Canucks,5,,,02:22,
28/01/2021,Anaheim Ducks,2,Arizona Coyotes,3,,2252,02:25,
28/01/2021,Pittsburgh Penguins,1,Boston Bruins,4,,,02:15,
28/01/2021,New York Rangers,3,Buffalo Sabres,2,OT,,02:28,
28/01/2021,Tampa Bay Lightning,0,Carolina Hurricanes,1,OT,,02:23,
28/01/2021,Florida Panthers,2,Columbus Blue Jackets,3,SO,,02:30,
28/01/2021,San Jose Sharks,0,Colorado Avalanche,3,,,02:25,
28/01/2021,Detroit Red Wings,3,Dallas Stars,7,,4214,02:27,
28/01/2021,Toronto Maple Leafs,4,Edmonton Oilers,3,,,02:22,
28/01/2021,Los Angeles Kings,3,Minnesota Wild,5,,,02:32,
28/01/2021,Calgary Flames,2,Montreal Canadiens,4,,,02:27,
28/01/2021,Philadelphia Flyers,3,New Jersey Devils,1,,,02:19,
28/01/2021,Ottawa Senators,1,Vancouver Canucks,4,,,02:20,
28/01/2021,New York Islanders,3,Washington Capitals,6,,,02:28,
29/01/2021,Columbus Blue Jackets,2,Chicago Blackhawks,1,,,02:16,
30/01/2021,St. Louis Blues,6,Anaheim Ducks,1,,,02:19,
30/01/2021,New Jersey Devils,3,Buffalo Sabres,4,SO,,02:39,
30/01/2021,Dallas Stars,1,Carolina Hurricanes,4,,,02:33,
30/01/2021,Florida Panthers,3,Detroit Red Wings,2,OT,,02:30,
30/01/2021,Toronto Maple Leafs,3,Edmonton Oilers,4,OT,,02:31,
30/01/2021,Colorado Avalanche,5,Minnesota Wild,1,,,02:31,
30/01/2021,Calgary Flames,2,Montreal Canadiens,0,,,02:31,
30/01/2021,Pittsburgh Penguins,5,New York Rangers,4,OT,,02:27,
30/01/2021,New York Islanders,2,Philadelphia Flyers,3,OT,,02:19,
30/01/2021,Nashville Predators,3,Tampa Bay Lightning,4,,,02:35,
30/01/2021,Vancouver Canucks,4,Winnipeg Jets,1,,,02:22,
30/01/2021,Boston Bruins,3,Washington Capitals,4,OT,,02:28,
31/01/2021,St. Louis Blues,4,Anaheim Ducks,1,,,02:23,
31/01/2021,New Jersey Devils,5,Buffalo Sabres,3,,,02:24,
31/01/2021,Dallas Stars,3,Carolina Hurricanes,4,SO,,02:42,
31/01/2021,Columbus Blue Jackets,1,Chicago Blackhawks,3,,,02:15,
31/01/2021,Florida Panthers,3,Detroit Red Wings,2,,,02:29,
31/01/2021,Ottawa Senators,5,Edmonton Oilers,8,,,02:33,
31/01/2021,Colorado Avalanche,3,Minnesota Wild,4,OT,,02:31,
31/01/2021,New York Islanders,3,Philadelphia Flyers,4,OT,,02:25,
01/02/2021,Vancouver Canucks,2,Montreal Canadiens,6,,,02:20,
01/02/2021,Pittsburgh Penguins,1,New York Rangers,3,,,02:20,
01/02/2021,Nashville Predators,2,Tampa Bay Lightning,5,,,02:25,
01/02/2021,Calgary Flames,4,Winnipeg Jets,3,SO,,02:18,
01/02/2021,Boston Bruins,5,Washington Capitals,3,,,02:27,
02/02/2021,Dallas Stars,6,Columbus Blue Jackets,3,,,02:21,
02/02/2021,Carolina Hurricanes,4,Chicago Blackhawks,3,SO,,02:34,
02/02/2021,Minnesota Wild,1,Colorado Avalanche,2,,,02:29,
02/02/2021,Ottawa Senators,2,Edmonton Oilers,4,,,02:26,
02/02/2021,Anaheim Ducks,3,Los Angeles Kings,1,,,02:19,
02/02/2021,Vancouver Canucks,3,Montreal Canadiens,5,,,02:28,
02/02/2021,Arizona Coyotes,3,St. Louis Blues,4,,,02:30,
02/02/2021,Calgary Flames,2,Winnipeg Jets,3,,,02:17,
03/02/2021,Boston Bruins,4,Philadelphia Flyers,3,OT,,02:27,
03/02/2021,Detroit Red Wings,1,Tampa Bay Lightning,5,,,02:18,
04/02/2021,Dallas Stars,3,Columbus Blue Jackets,4,,,02:24,
04/02/2021,Carolina Hurricanes,4,Chicago Blackhawks,6,,,02:32,
04/02/2021,Nashville Predators,6,Florida Panthers,5,OT,3698,02:39,
04/02/2021,Ottawa Senators,3,Montreal Canadiens,2,,,02:26,
04/02/2021,Washington Capitals,2,New York Rangers,4,,,02:27,
04/02/2021,Arizona Coyotes,4,St. Louis Blues,3,,,02:22,
04/02/2021,Vancouver Canucks,3,Toronto Maple Leafs,7,,,02:25,
04/02/2021,Calgary Flames,1,Winnipeg Jets,4,,,02:17,
05/02/2021,San Jose Sharks,5,Anaheim Ducks,4,SO,,02:41,
05/02/2021,Nashville Predators,1,Florida Panthers,2,,,02:33,
05/02/2021,Boston Bruins,2,Philadelphia Flyers,1,,,02:30,
05/02/2021,Detroit Red Wings,1,Tampa Bay Lightning,3,,,02:21,
05/02/2021,Los Angeles Kings,2,Vegas Golden Knights,5,,,02:31,
06/02/2021,San Jose Sharks,1,Anaheim Ducks,2,SO,,02:36,
06/02/2021,Edmonton Oilers,4,Calgary Flames,6,,,02:33,
06/02/2021,Pittsburgh Penguins,3,New York Islanders,4,,,02:15,
06/02/2021,Montreal Canadiens,2,Ottawa Senators,1,,,02:28,
06/02/2021,Arizona Coyotes,3,St. Louis Blues,1,,,02:21,
06/02/2021,Vancouver Canucks,1,Toronto Maple Leafs,5,,,02:25,
07/02/2021,Carolina Hurricanes,6,Columbus Blue Jackets,5,,,02:33,
07/02/2021,Chicago Blackhawks,2,Dallas Stars,1,OT,4203,02:29,
07/02/2021,Detroit Red Wings,4,Florida Panthers,1,,3706,02:26,
07/02/2021,Los Angeles Kings,3,Vegas Golden Knights,4,,,02:21,
07/02/2021,Philadelphia Flyers,7,Washington Capitals,4,,,02:18,
08/02/2021,Carolina Hurricanes,2,Columbus Blue Jackets,3,,,02:29,
08/02/2021,Tampa Bay Lightning,4,Nashville Predators,1,,,02:28,
08/02/2021,New York Islanders,2,New York Rangers,0,,,02:16,
08/02/2021,Edmonton Oilers,3,Ottawa Senators,1,,,02:25,
08/02/2021,Arizona Coyotes,4,St. Louis Blues,3,SO,,02:42,
08/02/2021,Vancouver Canucks,1,Toronto Maple Leafs,3,,,02:18,
09/02/2021,Winnipeg Jets,2,Calgary Flames,3,,,02:22,
09/02/2021,Chicago Blackhawks,2,Dallas Stars,1,OT,4059,02:22,
09/02/2021,Detroit Red Wings,1,Florida Panthers,2,,3477,02:14,
09/02/2021,San Jose Sharks,4,Los Angeles Kings,3,SO,,02:30,
09/02/2021,Tampa Bay Lightning,6,Nashville Predators,1,,,02:33,
09/02/2021,Edmonton Oilers,3,Ottawa Senators,2,,,02:26,
09/02/2021,Anaheim Ducks,4,Vegas Golden Knights,5,,,02:23,
10/02/2021,Toronto Maple Leafs,4,Montreal Canadiens,2,,,02:23,
10/02/2021,Boston Bruins,3,New York Rangers,2,OT,,02:32,
11/02/2021,Columbus Blue Jackets,6,Chicago Blackhawks,5,,,02:19,
11/02/2021,Carolina Hurricanes,5,Dallas Stars,3,,3687,02:41,
11/02/2021,Tampa Bay Lightning,2,Florida Panthers,5,,3808,02:21,
11/02/2021,San Jose Sharks,2,Los Angeles Kings,6,,,02:24,
11/02/2021,Edmonton Oilers,3,Montreal Canadiens,0,,,02:21,
11/02/2021,Detroit Red Wings,2,Nashville Predators,3,,,02:22,
11/02/2021,Pittsburgh Penguins,4,New York Islanders,3,SO,,02:40,
11/02/2021,Calgary Flames,3,Vancouver Canucks,1,,,02:26,
11/02/2021,Anaheim Ducks,1,Vegas Golden Knights,0,,,02:11,
11/02/2021,Ottawa Senators,1,Winnipeg Jets,5,,,02:16,
12/02/2021,St. Louis Blues,4,Arizona Coyotes,1,,2457,02:29,
12/02/2021,Boston Bruins,1,New York Rangers,0,,,02:30,
13/02/2021,St. Louis Blues,5,Arizona Coyotes,4,OT,3237,02:34,
13/02/2021,Columbus Blue Jackets,2,Chicago Blackhawks,3,OT,,02:20,
13/02/2021,Carolina Hurricanes,4,Dallas Stars,3,SO,4071,02:43,
13/02/2021,Tampa Bay Lightning,6,Florida Panthers,1,,4509,02:32,
13/02/2021,Detroit Red Wings,4,Nashville Predators,2,,,02:20,
13/02/2021,Boston Bruins,2,New York Islanders,4,,,02:30,
13/02/2021,Vegas Golden Knights,3,San Jose Sharks,1,,,02:27,
13/02/2021,Montreal Canadiens,2,Toronto Maple Leafs,1,,,02:12,
13/02/2021,Calgary Flames,1,Vancouver Canucks,3,,,02:25,
13/02/2021,Ottawa Senators,2,Winnipeg Jets,1,,,02:17,
14/02/2021,Washington Capitals,3,Pittsburgh Penguins,6,,,02:30,
14/02/2021,Colorado Avalanche,0,Vegas Golden Knights,1,,,02:23,
15/02/2021,St. Louis Blues,0,Arizona Coyotes,1,,2554,02:21,
15/02/2021,New York Islanders,3,Buffalo Sabres,1,,,02:19,
15/02/2021,Columbus Blue Jackets,3,Carolina Hurricanes,7,,,02:37,
15/02/2021,Chicago Blackhawks,3,Detroit Red Wings,2,OT,,02:23,
15/02/2021,Winnipeg Jets,6,Edmonton Oilers,5,,,02:24,
15/02/2021,Anaheim Ducks,2,San Jose Sharks,3,,,02:23,
15/02/2021,Florida Panthers,6,Tampa Bay Lightning,4,,100,02:35,
15/02/2021,Ottawa Senators,6,Toronto Maple Leafs,5,OT,,02:40,
15/02/2021,Calgary Flames,4,Vancouver Canucks,3,OT,,02:32,
16/02/2021,New York Islanders,3,Buffalo Sabres,0,,,02:27,
16/02/2021,Minnesota Wild,0,Los Angeles Kings,4,,,02:31,
16/02/2021,New Jersey Devils,5,New York Rangers,2,,,02:35,
16/02/2021,Washington Capitals,3,Pittsburgh Penguins,1,,,02:22,
16/02/2021,Colorado Avalanche,3,Vegas Golden Knights,2,,,02:23,
17/02/2021,Florida Panthers,4,Carolina Hurricanes,3,OT,,02:33,
17/02/2021,Vancouver Canucks,5,Calgary Flames,1,,,02:20,
17/02/2021,Chicago Blackhawks,2,Detroit Red Wings,0,,,02:12,
17/02/2021,Winnipeg Jets,2,Edmonton Oilers,3,,,02:25,
17/02/2021,Ottawa Senators,1,Toronto Maple Leafs,2,,,02:22,
18/02/2021,Minnesota Wild,3,Anaheim Ducks,1,,,02:26,
18/02/2021,Los Angeles Kings,3,Arizona Coyotes,2,SO,2281,02:35,
18/02/2021,New Jersey Devils,3,Boston Bruins,2,,,02:28,
18/02/2021,Nashville Predators,0,Columbus Blue Jackets,3,,,02:23,
18/02/2021,New York Rangers,3,Philadelphia Flyers,2,SO,,02:41,
18/02/2021,New York Islanders,1,Pittsburgh Penguins,4,,,02:22,
18/02/2021,San Jose Sharks,2,St. Louis Blues,3,OT,,02:30,
18/02/2021,Ottawa Senators,3,Toronto Maple Leafs,7,,,02:23,
18/02/2021,Buffalo Sabres,1,Washington Capitals,3,,,02:12,
19/02/2021,Chicago Blackhawks,3,Carolina Hurricanes,5,,,02:24,
19/02/2021,Edmonton Oilers,2,Calgary Flames,1,,,02:12,
19/02/2021,Florida Panthers,7,Detroit Red Wings,2,,,02:30,
19/02/2021,Winnipeg Jets,2,Vancouver Canucks,0,,,02:21,
20/02/2021,Minnesota Wild,5,Anaheim Ducks,1,,,02:26,
20/02/2021,Los Angeles Kings,4,Arizona Coyotes,2,,3187,02:18,
20/02/2021,Tampa Bay Lightning,0,Carolina Hurricanes,4,,,02:20,
20/02/2021,Nashville Predators,4,Columbus Blue Jackets,2,,,02:31,
20/02/2021,Vegas Golden Knights,2,Colorado Avalanche,3,,,00:35,NHL Outdoors at Lake Tahoe
20/02/2021,Florida Panthers,1,Detroit Red Wings,2,,,02:28,
20/02/2021,Calgary Flames,1,Edmonton Oilers,7,,,02:35,
20/02/2021,Toronto Maple Leafs,5,Montreal Canadiens,3,,,02:29,
20/02/2021,Buffalo Sabres,3,New Jersey Devils,2,,,02:21,
20/02/2021,New York Islanders,2,Pittsburgh Penguins,3,,,02:20,
20/02/2021,San Jose Sharks,5,St. Louis Blues,4,,,02:30,
20/02/2021,New York Rangers,4,Washington Capitals,1,,,02:25,
21/02/2021,Philadelphia Flyers,3,Boston Bruins,7,,,02:28,NHL Outdoors at Lake Tahoe
21/02/2021,Montreal Canadiens,2,Ottawa Senators,3,OT,,02:34,
21/02/2021,Winnipeg Jets,4,Vancouver Canucks,3,OT,,02:26,
21/02/2021,New Jersey Devils,3,Washington Capitals,4,,,02:28,
22/02/2021,Anaheim Ducks,3,Arizona Coyotes,4,,2346,02:47,
22/02/2021,Tampa Bay Lightning,4,Carolina Hurricanes,2,,,02:33,
22/02/2021,Vegas Golden Knights,3,Colorado Avalanche,0,,,02:18,
22/02/2021,Dallas Stars,1,Florida Panthers,3,,3510,02:23,
22/02/2021,Buffalo Sabres,2,New York Islanders,3,,,02:23,
22/02/2021,Minnesota Wild,6,San Jose Sharks,2,,,02:29,
22/02/2021,Los Angeles Kings,3,St. Louis Blues,0,,,02:19,
22/02/2021,Calgary Flames,3,Toronto Maple Leafs,0,,,02:22,
23/02/2021,Chicago Blackhawks,6,Columbus Blue Jackets,5,SO,,02:39,
23/02/2021,Nashville Predators,2,Detroit Red Wings,0,,,02:29,
23/02/2021,Buffalo Sabres,4,New Jersey Devils,1,,,02:30,
23/02/2021,Montreal Canadiens,4,Ottawa Senators,5,SO,,02:44,
23/02/2021,Edmonton Oilers,4,Vancouver Canucks,3,,,02:28,
23/02/2021,Pittsburgh Penguins,3,Washington Capitals,2,OT,,02:30,
24/02/2021,Anaheim Ducks,3,Arizona Coyotes,4,SO,2319,02:46,
24/02/2021,Minnesota Wild,6,Colorado Avalanche,2,,,02:26,
24/02/2021,Dallas Stars,3,Florida Panthers,0,,3324,02:31,
24/02/2021,New York Rangers,3,Philadelphia Flyers,4,,,02:27,
24/02/2021,Los Angeles Kings,2,St. Louis Blues,1,,,02:23,
24/02/2021,Carolina Hurricanes,0,Tampa Bay Lightning,3,,500,02:18,
24/02/2021,Calgary Flames,1,Toronto Maple Leafs,2,OT,,02:24,
25/02/2021,New Jersey Devils,4,Buffalo Sabres,3,OT,,02:22,
25/02/2021,Chicago Blackhawks,2,Columbus Blue Jackets,0,,,02:14,
25/02/2021,Nashville Predators,2,Detroit Red Wings,5,,,02:23,
25/02/2021,Dallas Stars,2,Florida Panthers,3,,3844,02:28,
25/02/2021,Boston Bruins,2,New York Islanders,7,,,02:24,
25/02/2021,Calgary Flames,1,Ottawa Senators,6,,,02:19,
25/02/2021,Carolina Hurricanes,1,Tampa Bay Lightning,3,,536,02:31,
25/02/2021,Edmonton Oilers,3,Vancouver Canucks,0,,,02:19,
25/02/2021,Montreal Canadiens,3,Winnipeg Jets,6,,,02:22,
25/02/2021,Pittsburgh Penguins,2,Washington Capitals,5,,,02:25,
26/02/2021,Colorado Avalanche,3,Arizona Coyotes,2,,2495,02:28,
