Date,Visitor,Vg,Home,Hg,ExtraTime,Att.,LOG,Notes
26/02/2021,Los Angeles Kings,1,Minnesota Wild,3,,,02:22,
26/02/2021,Boston Bruins,2,New York Rangers,6,,1800,02:33,
27/02/2021,Vegas Golden Knights,3,Anaheim Ducks,2,OT,,02:33,
27/02/2021,Colorado Avalanche,6,Arizona Coyotes,2,,3224,02:23,
27/02/2021,Philadelphia Flyers,3,Buffalo Sabres,0,,,02:23,
27/02/2021,Detroit Red Wings,5,Chicago Blackhawks,3,,,02:17,
27/02/2021,Toronto Maple Leafs,4,Edmonton Oilers,0,,,02:22,
27/02/2021,Carolina Hurricanes,4,Florida Panthers,3,SO,4281,02:53,
27/02/2021,Los Angeles Kings,3,Minnesota Wild,4,OT,,02:37,
27/02/2021,Washington Capitals,5,New Jersey Devils,2,,,02:27,
27/02/2021,Columbus Blue Jackets,1,Nashville Predators,2,,,02:24,
27/02/2021,Pittsburgh Penguins,4,New York Islanders,3,OT,,02:30,
27/02/2021,Calgary Flames,6,Ottawa Senators,3,,,02:32,
27/02/2021,St. Louis Blues,7,San Jose Sharks,6,,,02:34,
27/02/2021,Dallas Stars,0,Tampa Bay Lightning,5,,537,02:18,
27/02/2021,Montreal Canadiens,1,Winnipeg Jets,2,OT,,02:27,
28/02/2021,Philadelphia Flyers,3,Buffalo Sabres,0,,,02:13,
28/02/2021,Detroit Red Wings,2,Chicago Blackhawks,7,,,02:25,
28/02/2021,Washington Capitals,3,New Jersey Devils,2,,,02:25,
28/02/2021,Columbus Blue Jackets,1,Nashville Predators,3,,,02:25,
28/02/2021,Pittsburgh Penguins,0,New York Islanders,2,,,02:22,
28/02/2021,Boston Bruins,4,New York Rangers,1,,1800,02:24,
01/03/2021,St. Louis Blues,5,Anaheim Ducks,4,,,02:29,
01/03/2021,Toronto Maple Leafs,3,Edmonton Oilers,0,,,02:23,
01/03/2021,Carolina Hurricanes,3,Florida Panthers,2,OT,3817,02:30,
01/03/2021,Calgary Flames,1,Ottawa Senators,5,,,02:25,
01/03/2021,Colorado Avalanche,2,San Jose Sharks,6,,,02:22,
01/03/2021,Minnesota Wild,4,Vegas Golden Knights,5,OT,2605,02:31,
01/03/2021,Vancouver Canucks,4,Winnipeg Jets,0,,,02:20,
02/03/2021,Detroit Red Wings,1,Columbus Blue Jackets,4,,1953,02:23,
02/03/2021,Tampa Bay Lightning,2,Dallas Stars,0,,4067,02:24,
02/03/2021,Ottawa Senators,1,Montreal Canadiens,3,,,02:25,
02/03/2021,New York Islanders,2,New Jersey Devils,1,,1800,02:27,
02/03/2021,Carolina Hurricanes,4,Nashville Predators,2,,,02:27,
02/03/2021,Buffalo Sabres,2,New York Rangers,3,,1800,02:18,
02/03/2021,Philadelphia Flyers,2,Pittsburgh Penguins,5,,2800,02:27,
02/03/2021,Vancouver Canucks,2,Winnipeg Jets,5,,,02:17,
03/03/2021,St. Louis Blues,3,Anaheim Ducks,2,,,02:28,
03/03/2021,Washington Capitals,2,Boston Bruins,1,SO,,02:48,
03/03/2021,Toronto Maple Leafs,6,Edmonton Oilers,1,,,02:22,
03/03/2021,Arizona Coyotes,3,Los Angeles Kings,2,,,02:20,
03/03/2021,Colorado Avalanche,4,San Jose Sharks,0,,,02:25,
03/03/2021,Minnesota Wild,1,Vegas Golden Knights,5,,2610,02:25,
04/03/2021,Detroit Red Wings,2,Carolina Hurricanes,5,,2924,02:30,
04/03/2021,Ottawa Senators,3,Calgary Flames,7,,,02:27,
04/03/2021,Tampa Bay Lightning,3,Chicago Blackhawks,2,OT,,02:30,
04/03/2021,Columbus Blue Jackets,3,Dallas Stars,2,,4112,02:18,
04/03/2021,Winnipeg Jets,4,Montreal Canadiens,3,OT,,02:22,
04/03/2021,New York Rangers,6,New Jersey Devils,1,,,02:27,
04/03/2021,Florida Panthers,5,Nashville Predators,4,,,02:36,
04/03/2021,Buffalo Sabres,2,New York Islanders,5,,,02:17,
04/03/2021,Philadelphia Flyers,4,Pittsburgh Penguins,3,,2800,02:25,
04/03/2021,Toronto Maple Leafs,1,Vancouver Canucks,3,,,02:17,
05/03/2021,Minnesota Wild,5,Arizona Coyotes,1,,2541,02:30,
05/03/2021,Washington Capitals,1,Boston Bruins,5,,,03:01,
05/03/2021,Tampa Bay Lightning,3,Chicago Blackhawks,4,SO,,02:37,
05/03/2021,Anaheim Ducks,2,Colorado Avalanche,3,OT,,02:32,
05/03/2021,St. Louis Blues,3,Los Angeles Kings,2,OT,,02:22,
05/03/2021,Vegas Golden Knights,5,San Jose Sharks,4,OT,,02:32,
06/03/2021,Minnesota Wild,2,Arizona Coyotes,5,,3141,02:33,
06/03/2021,Anaheim Ducks,5,Colorado Avalanche,4,OT,,02:39,
06/03/2021,Columbus Blue Jackets,0,Dallas Stars,5,,4203,02:25,
06/03/2021,Calgary Flames,2,Edmonton Oilers,3,,,02:24,
06/03/2021,St. Louis Blues,3,Los Angeles Kings,4,OT,,02:24,
06/03/2021,Winnipeg Jets,1,Montreal Canadiens,7,,,02:18,
06/03/2021,New York Rangers,6,New Jersey Devils,3,,1800,02:23,
06/03/2021,Florida Panthers,6,Nashville Predators,2,,,02:30,
06/03/2021,Buffalo Sabres,2,New York Islanders,5,,,02:16,
06/03/2021,Philadelphia Flyers,3,Pittsburgh Penguins,4,,2800,02:30,
06/03/2021,Vegas Golden Knights,4,San Jose Sharks,0,,,02:15,
06/03/2021,Toronto Maple Leafs,2,Vancouver Canucks,4,,,02:30,
07/03/2021,New Jersey Devils,1,Boston Bruins,0,,,02:25,
07/03/2021,Florida Panthers,2,Carolina Hurricanes,4,,2924,02:49,
07/03/2021,Ottawa Senators,4,Calgary Flames,3,SO,,02:42,
07/03/2021,Tampa Bay Lightning,6,Chicago Blackhawks,3,,,02:27,
07/03/2021,Nashville Predators,4,Dallas Stars,3,SO,3976,02:44,
07/03/2021,Buffalo Sabres,2,New York Islanders,5,,,02:20,
07/03/2021,Washington Capitals,3,Philadelphia Flyers,1,,3023,02:23,
07/03/2021,New York Rangers,1,Pittsburgh Penguins,5,,2800,02:26,
08/03/2021,Los Angeles Kings,5,Anaheim Ducks,6,OT,,02:27,
08/03/2021,Arizona Coyotes,3,Colorado Avalanche,2,,,02:29,
08/03/2021,Ottawa Senators,2,Edmonton Oilers,3,,,02:23,
08/03/2021,Vegas Golden Knights,0,Minnesota Wild,2,,,02:22,
08/03/2021,St. Louis Blues,2,San Jose Sharks,3,OT,,02:30,
08/03/2021,Montreal Canadiens,1,Vancouver Canucks,2,SO,,02:33,
09/03/2021,Nashville Predators,2,Carolina Hurricanes,3,OT,2924,02:45,
09/03/2021,Florida Panthers,4,Columbus Blue Jackets,2,,3448,02:23,
09/03/2021,Chicago Blackhawks,1,Dallas Stars,6,,4211,02:20,
09/03/2021,Tampa Bay Lightning,4,Detroit Red Wings,3,OT,,02:32,
09/03/2021,Boston Bruins,1,New York Islanders,2,SO,,02:32,
09/03/2021,Buffalo Sabres,4,Philadelphia Flyers,5,SO,2838,02:34,
09/03/2021,New York Rangers,2,Pittsburgh Penguins,4,,2800,02:28,
09/03/2021,Winnipeg Jets,4,Toronto Maple Leafs,3,,,02:16,
09/03/2021,New Jersey Devils,4,Washington Capitals,5,OT,,02:35,
10/03/2021,Los Angeles Kings,5,Anaheim Ducks,1,,,02:21,
10/03/2021,Arizona Coyotes,1,Colorado Avalanche,2,OT,,02:35,
10/03/2021,Ottawa Senators,1,Edmonton Oilers,7,,,02:27,
10/03/2021,Vegas Golden Knights,3,Minnesota Wild,4,,,02:26,
10/03/2021,Montreal Canadiens,5,Vancouver Canucks,1,,,02:27,
11/03/2021,New York Rangers,0,Boston Bruins,4,,,02:22,
11/03/2021,Pittsburgh Penguins,5,Buffalo Sabres,2,,,02:22,
11/03/2021,Nashville Predators,1,Carolina Hurricanes,5,,2924,02:23,
11/03/2021,Florida Panthers,5,Columbus Blue Jackets,4,OT,3739,02:26,
11/03/2021,Montreal Canadiens,1,Calgary Flames,2,,,02:22,
11/03/2021,Chicago Blackhawks,4,Dallas Stars,2,,4213,02:23,
11/03/2021,Tampa Bay Lightning,4,Detroit Red Wings,6,,,02:41,
11/03/2021,New Jersey Devils,3,New York Islanders,5,,1000,02:23,
11/03/2021,Washington Capitals,5,Philadelphia Flyers,3,,2807,02:32,
11/03/2021,Winnipeg Jets,3,Toronto Maple Leafs,4,OT,,02:27,
12/03/2021,San Jose Sharks,6,Anaheim Ducks,0,,,02:24,
12/03/2021,Los Angeles Kings,0,Colorado Avalanche,2,,,02:29,
12/03/2021,Ottawa Senators,2,Edmonton Oilers,6,,,02:24,
12/03/2021,Arizona Coyotes,0,Minnesota Wild,4,,,02:22,
12/03/2021,Vegas Golden Knights,5,St. Louis Blues,4,OT,,02:36,
13/03/2021,San Jose Sharks,3,Anaheim Ducks,1,,,02:25,
13/03/2021,New York Rangers,4,Boston Bruins,0,,,02:32,
13/03/2021,Pittsburgh Penguins,3,Buffalo Sabres,0,,,02:22,
13/03/2021,Dallas Stars,3,Columbus Blue Jackets,4,OT,4160,02:27,
13/03/2021,Montreal Canadiens,1,Calgary Flames,3,,,02:25,
13/03/2021,Chicago Blackhawks,2,Florida Panthers,4,,4721,02:26,
13/03/2021,New York Islanders,3,New Jersey Devils,2,,1800,02:17,
13/03/2021,Washington Capitals,5,Philadelphia Flyers,4,,3083,02:19,
13/03/2021,Vegas Golden Knights,5,St. Louis Blues,1,,,02:27,
13/03/2021,Nashville Predators,3,Tampa Bay Lightning,6,,3800,02:24,
13/03/2021,Winnipeg Jets,5,Toronto Maple Leafs,2,,,02:29,
13/03/2021,Edmonton Oilers,1,Vancouver Canucks,2,,,02:26,
14/03/2021,Dallas Stars,2,Columbus Blue Jackets,1,SO,3992,02:32,
14/03/2021,Los Angeles Kings,1,Colorado Avalanche,4,,,02:19,
14/03/2021,Carolina Hurricanes,2,Detroit Red Wings,1,,,02:23,
14/03/2021,Arizona Coyotes,1,Minnesota Wild,4,,,02:24,
14/03/2021,New York Islanders,3,New Jersey Devils,2,SO,1800,02:48,
14/03/2021,Toronto Maple Leafs,3,Ottawa Senators,4,,,02:23,
15/03/2021,Washington Capitals,6,Buffalo Sabres,0,,,02:18,
15/03/2021,Edmonton Oilers,3,Calgary Flames,4,,,02:22,
15/03/2021,Chicago Blackhawks,3,Florida Panthers,6,,4512,02:32,
15/03/2021,Philadelphia Flyers,5,New York Rangers,4,OT,1639,02:40,
15/03/2021,Vancouver Canucks,3,Ottawa Senators,2,OT,,02:37,
15/03/2021,Boston Bruins,1,Pittsburgh Penguins,4,,2800,02:28,
15/03/2021,Nashville Predators,4,Tampa Bay Lightning,1,,3800,02:28,
15/03/2021,San Jose Sharks,1,Vegas Golden Knights,2,,3473,02:43,
15/03/2021,Montreal Canadiens,4,Winnipeg Jets,2,,,02:30,
16/03/2021,Anaheim Ducks,4,Colorado Avalanche,8,,,02:34,
16/03/2021,Tampa Bay Lightning,4,Dallas Stars,3,SO,4057,02:43,
16/03/2021,Carolina Hurricanes,2,Detroit Red Wings,4,,,02:28,
16/03/2021,Arizona Coyotes,0,Minnesota Wild,3,,,02:23,
16/03/2021,Buffalo Sabres,2,New Jersey Devils,3,,1800,02:27,
16/03/2021,Boston Bruins,2,Pittsburgh Penguins,1,,2800,02:30,
16/03/2021,New York Islanders,1,Washington Capitals,3,,,02:21,
17/03/2021,Edmonton Oilers,7,Calgary Flames,3,,,02:23,
17/03/2021,St. Louis Blues,1,Los Angeles Kings,4,,,02:24,
17/03/2021,Philadelphia Flyers,0,New York Rangers,9,,1723,02:26,
17/03/2021,Vancouver Canucks,3,Ottawa Senators,2,SO,,02:34,
17/03/2021,San Jose Sharks,4,Vegas Golden Knights,5,,3473,02:32,
17/03/2021,Montreal Canadiens,3,Winnipeg Jets,4,OT,,02:22,
18/03/2021,Arizona Coyotes,2,Anaheim Ducks,3,OT,,02:28,
18/03/2021,Boston Bruins,4,Buffalo Sabres,1,,,02:25,
18/03/2021,Columbus Blue Jackets,3,Carolina Hurricanes,2,OT,2924,02:31,
18/03/2021,Minnesota Wild,1,Colorado Avalanche,5,,,02:31,
18/03/2021,Dallas Stars,2,Detroit Red Wings,3,,,02:27,
18/03/2021,Winnipeg Jets,1,Edmonton Oilers,2,,,02:25,
18/03/2021,Nashville Predators,2,Florida Panthers,1,,4559,02:30,
18/03/2021,Pittsburgh Penguins,2,New Jersey Devils,3,,1800,02:33,
18/03/2021,Philadelphia Flyers,4,New York Islanders,3,,1400,02:28,
18/03/2021,Chicago Blackhawks,2,Tampa Bay Lightning,4,,3800,02:22,
19/03/2021,Vegas Golden Knights,4,Los Angeles Kings,2,,,02:29,
19/03/2021,Vancouver Canucks,3,Montreal Canadiens,2,OT,,02:28,
19/03/2021,St. Louis Blues,2,San Jose Sharks,1,SO,,02:41,
19/03/2021,Calgary Flames,4,Toronto Maple Leafs,3,,,02:25,
19/03/2021,New York Rangers,1,Washington Capitals,2,,,02:20,
20/03/2021,Arizona Coyotes,5,Anaheim Ducks,1,,,02:24,
20/03/2021,Columbus Blue Jackets,3,Carolina Hurricanes,2,SO,2924,02:39,
20/03/2021,Minnesota Wild,0,Colorado Avalanche,6,,,02:31,
20/03/2021,Dallas Stars,3,Detroit Red Wings,0,,,02:20,
20/03/2021,Winnipeg Jets,2,Edmonton Oilers,4,,,02:22,
20/03/2021,Nashville Predators,0,Florida Panthers,2,,4358,02:22,
20/03/2021,Vancouver Canucks,4,Montreal Canadiens,5,SO,,02:36,
20/03/2021,Pittsburgh Penguins,3,New Jersey Devils,1,,1800,02:22,
20/03/2021,Philadelphia Flyers,1,New York Islanders,6,,1400,02:18,
20/03/2021,St. Louis Blues,5,San Jose Sharks,2,,,02:25,
20/03/2021,Chicago Blackhawks,1,Tampa Bay Lightning,4,,3800,02:20,
20/03/2021,Calgary Flames,0,Toronto Maple Leafs,2,,,02:25,
20/03/2021,New York Rangers,3,Washington Capitals,1,,,02:28,
21/03/2021,Nashville Predators,4,Dallas Stars,3,SO,4011,02:48,
21/03/2021,Vegas Golden Knights,1,Los Angeles Kings,3,,,02:29,
21/03/2021,New Jersey Devils,2,Pittsburgh Penguins,1,OT,2800,02:21,
21/03/2021,Florida Panthers,3,Tampa Bay Lightning,5,,3800,02:36,
22/03/2021,Colorado Avalanche,5,Arizona Coyotes,1,,2593,02:22,
22/03/2021,Carolina Hurricanes,3,Columbus Blue Jackets,0,,3829,02:17,
22/03/2021,Anaheim Ducks,1,Minnesota Wild,2,,,02:23,
22/03/2021,Buffalo Sabres,3,New York Rangers,5,,1800,02:24,
22/03/2021,Calgary Flames,1,Ottawa Senators,2,,,02:17,
22/03/2021,New York Islanders,2,Philadelphia Flyers,1,OT,2820,02:23,
22/03/2021,Los Angeles Kings,1,San Jose Sharks,2,,,02:22,
22/03/2021,Winnipeg Jets,4,Vancouver Canucks,0,,,02:18,
22/03/2021,St. Louis Blues,1,Vegas Golden Knights,5,,3750,02:22,
23/03/2021,Colorado Avalanche,4,Arizona Coyotes,5,SO,2539,02:41,
23/03/2021,Florida Panthers,2,Chicago Blackhawks,3,,,02:28,
23/03/2021,Tampa Bay Lightning,2,Dallas Stars,1,,4103,02:32,
23/03/2021,Detroit Red Wings,0,Nashville Predators,2,,,02:24,
23/03/2021,New Jersey Devils,4,Philadelphia Flyers,3,,2882,02:28,
24/03/2021,Anaheim Ducks,2,Minnesota Wild,3,,,02:29,
24/03/2021,Calgary Flames,1,Ottawa Senators,3,,,02:16,
24/03/2021,Buffalo Sabres,2,Pittsburgh Penguins,5,,2800,02:26,
24/03/2021,Los Angeles Kings,2,San Jose Sharks,4,,,02:24,
24/03/2021,Winnipeg Jets,5,Vancouver Canucks,1,,,02:24,
25/03/2021,New York Islanders,4,Boston Bruins,3,OT,2191,02:40,
25/03/2021,Carolina Hurricanes,4,Columbus Blue Jackets,3,OT,4033,02:32,
25/03/2021,Florida Panthers,0,Chicago Blackhawks,3,,,02:21,
25/03/2021,Vegas Golden Knights,1,Colorado Avalanche,5,,,02:30,
25/03/2021,Tampa Bay Lightning,3,Dallas Stars,4,,4187,02:34,
25/03/2021,St. Louis Blues,0,Minnesota Wild,2,,,02:21,
25/03/2021,Detroit Red Wings,1,Nashville Predators,7,,,02:28,
25/03/2021,Toronto Maple Leafs,3,Ottawa Senators,2,OT,,02:41,
25/03/2021,New York Rangers,8,Philadelphia Flyers,3,,2854,02:32,
25/03/2021,Buffalo Sabres,0,Pittsburgh Penguins,4,,2800,02:25,
25/03/2021,New Jersey Devils,3,Washington Capitals,4,,,02:31,
26/03/2021,San Jose Sharks,2,Arizona Coyotes,5,,3007,02:23,
26/03/2021,Winnipeg Jets,3,Calgary Flames,2,,,02:24,
26/03/2021,Anaheim Ducks,4,St. Louis Blues,1,,,02:23,
26/03/2021,New Jersey Devils,0,Washington Capitals,4,,,02:25,
27/03/2021,San Jose Sharks,0,Arizona Coyotes,4,,3217,02:27,
27/03/2021,Buffalo Sabres,2,Boston Bruins,3,,2191,02:28,
27/03/2021,Tampa Bay Lightning,3,Carolina Hurricanes,4,,4433,02:31,
27/03/2021,Winnipeg Jets,2,Calgary Flames,4,,,02:22,
27/03/2021,Nashville Predators,3,Chicago Blackhawks,1,,,02:15,
27/03/2021,Vegas Golden Knights,3,Colorado Avalanche,2,OT,,02:29,
27/03/2021,Florida Panthers,4,Dallas Stars,3,OT,4209,02:44,
27/03/2021,Columbus Blue Jackets,1,Detroit Red Wings,3,,,02:20,
27/03/2021,New York Rangers,1,Philadelphia Flyers,2,,3069,02:24,
27/03/2021,New York Islanders,3,Pittsburgh Penguins,6,,2800,02:23,
27/03/2021,Edmonton Oilers,3,Toronto Maple Leafs,4,OT,,02:27,
28/03/2021,New Jersey Devils,1,Boston Bruins,0,,2191,02:46,
28/03/2021,Nashville Predators,3,Chicago Blackhawks,2,,,02:22,
28/03/2021,Florida Panthers,4,Dallas Stars,1,,4026,02:35,
28/03/2021,Columbus Blue Jackets,1,Detroit Red Wings,4,,,02:18,
28/03/2021,Anaheim Ducks,3,St. Louis Blues,2,OT,,02:30,
28/03/2021,New York Rangers,4,Washington Capitals,5,,,02:28,
29/03/2021,Philadelphia Flyers,4,Buffalo Sabres,3,OT,,02:31,
29/03/2021,Winnipeg Jets,5,Calgary Flames,1,,,02:24,
29/03/2021,Anaheim Ducks,2,Colorado Avalanche,5,,,02:31,
29/03/2021,New York Islanders,1,Pittsburgh Penguins,2,,2800,02:26,
29/03/2021,Minnesota Wild,3,San Jose Sharks,4,SO,,02:37,
29/03/2021,Edmonton Oilers,3,Toronto Maple Leafs,2,OT,,02:24,
29/03/2021,Los Angeles Kings,1,Vegas Golden Knights,4,,3950,02:13,
30/03/2021,New Jersey Devils,4,Boston Bruins,5,SO,2191,02:50,
30/03/2021,Carolina Hurricanes,1,Chicago Blackhawks,2,,,02:25,
30/03/2021,Detroit Red Wings,1,Florida Panthers,4,,4321,02:23,
30/03/2021,Edmonton Oilers,0,Montreal Canadiens,4,,,02:29,
30/03/2021,Dallas Stars,2,Nashville Predators,3,OT,,02:26,
30/03/2021,Washington Capitals,2,New York Rangers,5,,1761,02:27,
30/03/2021,Columbus Blue Jackets,3,Tampa Bay Lightning,1,,3800,02:41,
31/03/2021,Philadelphia Flyers,1,Buffalo Sabres,6,,,02:21,
31/03/2021,Arizona Coyotes,3,Colorado Avalanche,9,,,02:34,
31/03/2021,Minnesota Wild,2,San Jose Sharks,4,,,02:28,
31/03/2021,Los Angeles Kings,4,Vegas Golden Knights,2,,3950,02:26,
31/03/2021,Toronto Maple Leafs,3,Winnipeg Jets,1,,,02:23,
01/04/2021,Pittsburgh Penguins,4,Boston Bruins,1,,2191,02:33,
01/04/2021,New York Rangers,3,Buffalo Sabres,2,OT,,02:26,
01/04/2021,Carolina Hurricanes,4,Chicago Blackhawks,3,,,02:31,
01/04/2021,Detroit Red Wings,2,Florida Panthers,3,OT,4359,02:35,
01/04/2021,Dallas Stars,4,Nashville Predators,1,,,02:24,
01/04/2021,Washington Capitals,4,New York Islanders,8,,1400,02:33,
01/04/2021,Montreal Canadiens,4,Ottawa Senators,1,,,02:22,
01/04/2021,Columbus Blue Jackets,2,Tampa Bay Lightning,3,,3800,02:28,
01/04/2021,Minnesota Wild,3,Vegas Golden Knights,2,SO,3950,02:36,
02/04/2021,Arizona Coyotes,4,Anaheim Ducks,2,,,02:26,
02/04/2021,St. Louis Blues,2,Colorado Avalanche,3,,4039,02:28,
02/04/2021,Calgary Flames,2,Edmonton Oilers,3,,,02:21,
02/04/2021,San Jose Sharks,3,Los Angeles Kings,0,,,02:26,
02/04/2021,Washington Capitals,2,New Jersey Devils,1,OT,3600,02:29,
02/04/2021,Toronto Maple Leafs,2,Winnipeg Jets,1,SO,,02:28,
03/04/2021,Pittsburgh Penguins,5,Boston Bruins,7,,2191,02:44,
03/04/2021,New York Rangers,2,Buffalo Sabres,3,SO,,02:39,
03/04/2021,Dallas Stars,3,Carolina Hurricanes,2,,4987,02:30,
03/04/2021,St. Louis Blues,1,Colorado Avalanche,2,,4035,02:29,
03/04/2021,Columbus Blue Jackets,2,Florida Panthers,5,,4375,02:28,
03/04/2021,San Jose Sharks,3,Los Angeles Kings,2,,,02:18,
03/04/2021,Ottawa Senators,6,Montreal Canadiens,3,,,02:33,
03/04/2021,Chicago Blackhawks,0,Nashville Predators,3,,,02:26,
03/04/2021,Philadelphia Flyers,2,New York Islanders,3,SO,1400,02:41,
03/04/2021,Detroit Red Wings,1,Tampa Bay Lightning,2,,3800,02:17,
03/04/2021,Minnesota Wild,2,Vegas Golden Knights,1,,3950,02:24,
04/04/2021,Arizona Coyotes,3,Anaheim Ducks,2,OT,,02:37,
04/04/2021,Dallas Stars,0,Carolina Hurricanes,1,,4987,02:21,
04/04/2021,Toronto Maple Leafs,4,Calgary Flames,2,,,02:17,
04/04/2021,Columbus Blue Jackets,0,Florida Panthers,3,,4069,02:20,
04/04/2021,Washington Capitals,5,New Jersey Devils,4,,3600,02:32,
04/04/2021,Detroit Red Wings,5,Tampa Bay Lightning,1,,3800,02:20,
05/04/2021,Philadelphia Flyers,3,Boston Bruins,2,OT,2191,02:38,
